Male,Czech Republic,21,Other,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A professional degree
Male,United States,,Software Developer/Software Engineer,Matlab,Master's degree,Engineering (non-computer focused),3 to 5 years,A doctoral degree
Male,Russia,22,Data Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,A professional degree
Male,Netherlands,51,Engineer,R,Master's degree,Biology,More than 10 years,High school
Male,Colombia,34,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Germany,41,Data Scientist,Python,I did not complete any formal education past high school,,More than 10 years,A doctoral degree
Female,Canada,32,,C/C++/C#,Master's degree,Electrical Engineering,,"Some college/university study, no bachelor's degree"
Male,Denmark,53,Business Analyst,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,More than 10 years,
Male,Poland,29,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,United Kingdom,36,Data Scientist,Python,Doctoral degree,Electrical Engineering,More than 10 years,A professional degree
Male,Russia,34,Machine Learning Engineer,Python,Master's degree,Computer Science,6 to 10 years,High school
Male,United States,35,Engineer,Python,Doctoral degree,Physics,3 to 5 years,A doctoral degree
Female,South Africa,23,,SQL,Professional degree,,1 to 2 years,A bachelor's degree
Male,Sweden,48,,C/C++/C#,Doctoral degree,Physics,,I prefer not to answer
Male,Sweden,37,Machine Learning Engineer,Python,Master's degree,Electrical Engineering,More than 10 years,A bachelor's degree
Female,Canada,30,Other,Python,Master's degree,,Less than a year,
Male,United States,43,Software Developer/Software Engineer,Python,Doctoral degree,Computer Science,More than 10 years,"Some college/university study, no bachelor's degree"
Male,United States,33,Operations Research Practitioner,,Doctoral degree,Electrical Engineering,6 to 10 years,
Male,United States,30,Data Scientist,Python,Master's degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
Male,Portugal,30,Data Scientist,Python,Master's degree,Physics,3 to 5 years,A master's degree
Female,United States,22,,R,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,High school
Male,Other,28,Data Scientist,R,Master's degree,A social science,3 to 5 years,A bachelor's degree
Male,Mexico,26,Data Scientist,Python,Some college/university study without earning a bachelor's degree,A social science,1 to 2 years,A bachelor's degree
Male,New Zealand,34,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Female,,24,,Python,Bachelor's degree,Computer Science,,Primary/elementary school
Male,United States,27,Scientist/Researcher,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,I don't know/not sure
Male,People 's Republic of China,25,,C/C++/C#,Doctoral degree,Electrical Engineering,,
Male,People 's Republic of China,24,,Python,Master's degree,A health science,Less than a year,A master's degree
Male,Japan,30,Business Analyst,,Master's degree,Computer Science,1 to 2 years,
Male,New Zealand,32,Scientist/Researcher,SAS,Doctoral degree,,1 to 2 years,High school
Male,India,30,,Python,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Female,Japan,37,,,,,,
Male,United States,63,Other,Python,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Female,Taiwan,22,,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,High school
Male,Canada,40,,Python,Professional degree,,Less than a year,A professional degree
Male,Other,24,,Python,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,32,Researcher,Stata,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Canada,34,Other,Python,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Male,Iran,31,Scientist/Researcher,Python,Doctoral degree,Computer Science,1 to 2 years,A doctoral degree
Male,Singapore,24,Data Analyst,Python,Bachelor's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,54,Engineer,Python,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,A bachelor's degree
Male,Russia,59,Other,Python,,,,
Male,India,29,Data Scientist,R,Master's degree,Computer Science,3 to 5 years,A master's degree
Female,India,30,Statistician,R,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,France,25,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,France,39,Data Scientist,Python,Doctoral degree,A health science,1 to 2 years,A doctoral degree
Female,Germany,49,Scientist/Researcher,Python,Doctoral degree,Computer Science,More than 10 years,
Male,United Kingdom,29,,Python,Doctoral degree,Physics,,A bachelor's degree
Female,Russia,25,,,,,,
Male,Spain,38,Data Scientist,R,Doctoral degree,Computer Science,6 to 10 years,High school
Male,Germany,59,,R,Doctoral degree,Mathematics or statistics,,A master's degree
Male,United Kingdom,41,Engineer,Python,Doctoral degree,Electrical Engineering,More than 10 years,High school
Male,United States,40,Scientist/Researcher,Python,Doctoral degree,Physics,More than 10 years,
Male,Indonesia,23,,SQL,Bachelor's degree,Computer Science,1 to 2 years,
Male,Israel,29,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Singapore,33,Data Scientist,Python,Master's degree,Mathematics or statistics,6 to 10 years,Primary/elementary school
Male,Germany,40,Software Developer/Software Engineer,,Master's degree,,,
Male,United States,25,Engineer,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,
Male,Germany,44,Other,Python,Master's degree,A humanities discipline,3 to 5 years,High school
Male,Colombia,40,Machine Learning Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Male,Russia,37,Scientist/Researcher,R,Professional degree,,3 to 5 years,A professional degree
Male,United States,47,,Python,Bachelor's degree,Computer Science,,Primary/elementary school
Male,India,23,,Python,Bachelor's degree,Electrical Engineering,,A master's degree
Female,United States,31,Scientist/Researcher,R,Doctoral degree,Engineering (non-computer focused),6 to 10 years,A master's degree
Female,United States,,Other,Other,Master's degree,Other,More than 10 years,A bachelor's degree
Male,Brazil,32,,,,,,
Female,United States,39,Predictive Modeler,R,Master's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,United States,44,,,,,,
Male,Other,22,,,,,,
Male,France,21,,,,,,
Male,Other,21,,R,,Mathematics or statistics,Less than a year,A bachelor's degree
Male,Germany,24,,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,
Male,Canada,35,Scientist/Researcher,Python,Doctoral degree,A health science,3 to 5 years,A doctoral degree
Male,India,36,DBA/Database Engineer,,Bachelor's degree,Electrical Engineering,I don't write code to analyze data,A bachelor's degree
Male,Egypt,24,,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Some college/university study, no bachelor's degree"
Male,Colombia,47,Data Scientist,R,Master's degree,Mathematics or statistics,I don't write code to analyze data,High school
Male,Hungary,40,Researcher,R,Doctoral degree,A social science,3 to 5 years,A doctoral degree
Female,United States,30,Business Analyst,Python,Bachelor's degree,,1 to 2 years,A bachelor's degree
Male,Russia,24,,R,Bachelor's degree,A social science,,A bachelor's degree
Male,India,27,Software Developer/Software Engineer,R,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,A bachelor's degree
Male,India,22,,R,Bachelor's degree,Electrical Engineering,,A master's degree
Male,India,19,,C/C++/C#,I did not complete any formal education past high school,,,A master's degree
Male,India,21,,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,A bachelor's degree
Male,United States,50,Predictive Modeler,R,Doctoral degree,Mathematics or statistics,More than 10 years,High school
Female,United States,36,,R,Master's degree,Engineering (non-computer focused),Less than a year,A master's degree
Male,France,36,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,23,,Python,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,United States,59,Data Scientist,Python,Master's degree,Physics,1 to 2 years,A bachelor's degree
Female,Brazil,27,Other,Python,Bachelor's degree,Other,Less than a year,A bachelor's degree
Female,United States,27,Data Analyst,Stata,Master's degree,,3 to 5 years,A bachelor's degree
Male,Canada,34,,Python,Master's degree,Electrical Engineering,3 to 5 years,High school
Male,Argentina,25,Machine Learning Engineer,Python,Master's degree,Engineering (non-computer focused),Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,68,Engineer,Python,Master's degree,Electrical Engineering,More than 10 years,High school
Female,Germany,25,,R,Master's degree,Management information systems,1 to 2 years,High school
Male,United States,28,,Python,Bachelor's degree,,I don't write code to analyze data,A bachelor's degree
Male,India,27,,Python,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,India,25,Data Analyst,Java,Bachelor's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,United States,50,,,,,,
Male,Spain,34,Software Developer/Software Engineer,Python,Professional degree,,3 to 5 years,Primary/elementary school
Male,India,22,,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Female,United States,20,Researcher,Java,Some college/university study without earning a bachelor's degree,Biology,Less than a year,A doctoral degree
Male,United Kingdom,16,,Python,I did not complete any formal education past high school,,,A bachelor's degree
Male,Turkey,20,,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Female,United States,29,Data Analyst,,Master's degree,A social science,3 to 5 years,A doctoral degree
Male,Brazil,25,Computer Scientist,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Canada,42,Data Scientist,Python,Master's degree,Physics,Less than a year,High school
A different identity,India,24,,R,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Brazil,32,Scientist/Researcher,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,India,22,Data Scientist,Python,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,Hungary,38,Researcher,Python,Bachelor's degree,Computer Science,3 to 5 years,Primary/elementary school
Male,United States,25,Business Analyst,R,Master's degree,Engineering (non-computer focused),1 to 2 years,
Male,Other,28,Data Scientist,Python,Bachelor's degree,Physics,3 to 5 years,Primary/elementary school
Male,Brazil,38,Programmer,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,A master's degree
Male,India,21,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,Russia,31,Business Analyst,R,Some college/university study without earning a bachelor's degree,Computer Science,6 to 10 years,No education
Male,United States,60,Other,Python,Bachelor's degree,Physics,More than 10 years,
Female,United States,30,,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,United States,31,Business Analyst,R,Bachelor's degree,Computer Science,I don't write code to analyze data,High school
Male,Russia,35,,,,,,
Male,United States,35,Engineer,Python,Master's degree,Electrical Engineering,Less than a year,"Some college/university study, no bachelor's degree"
Male,India,21,,Python,Bachelor's degree,A health science,,
Male,United States,20,Scientist/Researcher,Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Some college/university study, no bachelor's degree"
Female,United Kingdom,31,Data Analyst,SQL,Doctoral degree,A social science,1 to 2 years,A doctoral degree
Male,United States,27,Data Scientist,Python,Some college/university study without earning a bachelor's degree,A social science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,58,,Python,Master's degree,A health science,Less than a year,A bachelor's degree
Male,India,20,,Java,Bachelor's degree,Computer Science,Less than a year,A master's degree
Female,India,30,,R,Bachelor's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,India,24,,,,,,
A different identity,Argentina,21,Business Analyst,Python,I did not complete any formal education past high school,,Less than a year,A bachelor's degree
Male,Ukraine,18,,Python,I did not complete any formal education past high school,,Less than a year,A professional degree
Male,Brazil,22,Programmer,R,Professional degree,,Less than a year,Primary/elementary school
Male,Russia,24,,Python,Master's degree,"Information technology, networking, or system administration",I don't write code to analyze data,A master's degree
Male,Italy,25,,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Greece,29,,R,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,Spain,39,Other,Python,Master's degree,Engineering (non-computer focused),Less than a year,Primary/elementary school
Male,United Kingdom,30,Data Analyst,SQL,Bachelor's degree,A social science,3 to 5 years,High school
Male,India,26,Programmer,Python,Bachelor's degree,,Less than a year,A bachelor's degree
A different identity,France,0,Software Developer/Software Engineer,Python,Doctoral degree,Physics,1 to 2 years,A master's degree
Male,United States,24,,Matlab,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Male,United States,27,,R,Master's degree,"Information technology, networking, or system administration",1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,49,DBA/Database Engineer,Other,I did not complete any formal education past high school,,More than 10 years,High school
Male,United States,29,,Python,Master's degree,Computer Science,3 to 5 years,High school
Male,Spain,37,Data Scientist,Python,Master's degree,Electrical Engineering,3 to 5 years,Primary/elementary school
Male,United States,62,Programmer,Python,Master's degree,Other,More than 10 years,A professional degree
Male,Russia,36,Software Developer/Software Engineer,Python,Professional degree,,6 to 10 years,A doctoral degree
Female,United States,21,Other,R,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,A bachelor's degree
Male,United States,25,,Stata,Master's degree,Other,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,25,,R,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,Poland,58,DBA/Database Engineer,R,Master's degree,,1 to 2 years,A master's degree
Male,France,20,,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Female,Sweden,24,,R,Master's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,21,,C/C++/C#,Bachelor's degree,Computer Science,,A master's degree
Male,United States,38,Data Scientist,Python,Doctoral degree,Biology,6 to 10 years,A doctoral degree
Male,United States,47,Researcher,Julia,Doctoral degree,Mathematics or statistics,More than 10 years,
Male,United States,27,,Python,Master's degree,Computer Science,Less than a year,A master's degree
Male,United States,27,Other,SQL,Bachelor's degree,,Less than a year,A bachelor's degree
Male,France,26,Scientist/Researcher,R,Master's degree,A health science,Less than a year,A doctoral degree
Male,Brazil,21,,Matlab,Some college/university study without earning a bachelor's degree,Electrical Engineering,,High school
A different identity,Canada,23,Scientist/Researcher,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A doctoral degree
Male,United States,19,Other,Python,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,23,Engineer,Python,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,53,,,,,,
Female,Poland,23,Data Scientist,SAS,Bachelor's degree,Mathematics or statistics,Less than a year,A master's degree
Female,Canada,19,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,High school
Female,United States,31,Scientist/Researcher,Python,Master's degree,Other,More than 10 years,A master's degree
Male,South Africa,24,,SAS,Bachelor's degree,Other,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Denmark,29,Scientist/Researcher,R,Doctoral degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,United States,21,,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Female,Brazil,29,,Python,Master's degree,Electrical Engineering,,A doctoral degree
Male,Pakistan,24,,C/C++/C#,Bachelor's degree,Computer Science,,A master's degree
Male,People 's Republic of China,25,Researcher,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,High school
Female,United States,31,Data Scientist,R,Master's degree,Fine arts or performing arts,3 to 5 years,A doctoral degree
"Non-binary, genderqueer, or gender non-conforming",United States,57,,Python,Master's degree,A social science,1 to 2 years,"Some college/university study, no bachelor's degree"
Female,Netherlands,54,,R,Master's degree,,,A doctoral degree
Male,United States,50,Scientist/Researcher,Python,Doctoral degree,Physics,More than 10 years,
Male,United States,59,,,,,,
Male,Finland,31,Data Scientist,SAS,Bachelor's degree,Mathematics or statistics,6 to 10 years,Primary/elementary school
Male,United States,21,Data Miner,Python,Bachelor's degree,,Less than a year,High school
Male,United States,72,Data Scientist,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A doctoral degree
Female,Canada,23,Business Analyst,Python,Bachelor's degree,,Less than a year,Primary/elementary school
Male,United States,37,Data Scientist,Python,Doctoral degree,Biology,6 to 10 years,A master's degree
Male,Canada,26,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,
Male,New Zealand,30,Data Analyst,R,Bachelor's degree,Computer Science,6 to 10 years,Primary/elementary school
Male,France,24,Data Scientist,R,Master's degree,Mathematics or statistics,1 to 2 years,A master's degree
"Non-binary, genderqueer, or gender non-conforming",United States,21,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,A professional degree
Male,Ukraine,32,Software Developer/Software Engineer,R,Master's degree,Computer Science,I don't write code to analyze data,A doctoral degree
Female,United States,27,,R,Master's degree,,,A doctoral degree
Male,United States,41,Researcher,Python,Doctoral degree,Physics,More than 10 years,High school
Male,United States,13,,Python,I did not complete any formal education past high school,,,I prefer not to answer
Male,Israel,38,,,,,,
Male,Czech Republic,21,Data Analyst,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,Russia,38,,,,,,
Male,Pakistan,21,,Python,I did not complete any formal education past high school,,Less than a year,A master's degree
Male,Australia,18,,Python,I prefer not to answer,Other,,A doctoral degree
Male,United States,37,Data Scientist,Python,Master's degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
Male,United Kingdom,55,Business Analyst,Python,Bachelor's degree,Computer Science,Less than a year,No education
Male,Norway,29,Data Analyst,R,Master's degree,,Less than a year,I prefer not to answer
Male,India,20,,Python,Bachelor's degree,Computer Science,Less than a year,
Female,Australia,,,Matlab,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Netherlands,26,Business Analyst,Python,Master's degree,"Information technology, networking, or system administration",1 to 2 years,"Some college/university study, no bachelor's degree"
Female,Ireland,,,Python,Bachelor's degree,,Less than a year,A master's degree
Male,Australia,32,,R,Bachelor's degree,Management information systems,6 to 10 years,I don't know/not sure
Male,United States,22,,,Master's degree,Computer Science,1 to 2 years,A doctoral degree
Male,Chile,37,Software Developer/Software Engineer,Python,Professional degree,,3 to 5 years,A professional degree
Male,Canada,18,Software Developer/Software Engineer,Python,Bachelor's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,Other,29,Computer Scientist,Python,Master's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,Russia,23,,,,,,
Female,Germany,24,Scientist/Researcher,R,Bachelor's degree,,1 to 2 years,A bachelor's degree
Male,France,36,,Python,Master's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,United States,31,Scientist/Researcher,R,Master's degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,United States,20,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Female,France,28,Data Analyst,R,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Female,Germany,38,Data Analyst,Python,Doctoral degree,Computer Science,6 to 10 years,A master's degree
Female,United States,52,,,,,,
Male,United States,52,Scientist/Researcher,Python,Master's degree,Biology,More than 10 years,High school
Male,United States,29,Data Scientist,R,Master's degree,Engineering (non-computer focused),Less than a year,A master's degree
Female,United States,19,,Python,I prefer not to answer,Computer Science,,A master's degree
Male,United States,23,,Python,Bachelor's degree,Computer Science,,A professional degree
Female,Poland,22,,R,Bachelor's degree,I never declared a major,,A master's degree
Male,United States,35,Data Scientist,Python,Doctoral degree,Biology,More than 10 years,"Some college/university study, no bachelor's degree"
Male,United States,28,Data Scientist,Python,Bachelor's degree,A social science,1 to 2 years,A doctoral degree
Male,Italy,27,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,High school
Male,Italy,52,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,Less than a year,I prefer not to answer
Male,India,22,,R,Master's degree,Computer Science,Less than a year,A master's degree
Male,United States,24,Business Analyst,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,A professional degree
Male,United States,27,Programmer,Python,Master's degree,Electrical Engineering,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,23,,R,Master's degree,Engineering (non-computer focused),Less than a year,A master's degree
Male,Russia,20,,Python,Some college/university study without earning a bachelor's degree,I never declared a major,,A master's degree
Male,United States,18,,R,I did not complete any formal education past high school,,,A doctoral degree
Male,United States,29,,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,
Male,Germany,35,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,A master's degree
Male,United Kingdom,23,,Python,Master's degree,Computer Science,3 to 5 years,A doctoral degree
Male,Belarus,31,Programmer,Python,Master's degree,Other,1 to 2 years,A bachelor's degree
Male,Czech Republic,25,Other,R,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,Pakistan,20,,Python,Some college/university study without earning a bachelor's degree,Electrical Engineering,Less than a year,A doctoral degree
Female,United States,28,Engineer,Python,Master's degree,Electrical Engineering,6 to 10 years,A doctoral degree
Male,United States,48,Other,Python,Doctoral degree,Electrical Engineering,More than 10 years,A doctoral degree
Male,United States,38,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Female,United States,27,,R,Master's degree,Computer Science,Less than a year,A bachelor's degree
Female,United Kingdom,32,Other,R,Master's degree,Mathematics or statistics,Less than a year,A master's degree
Male,India,20,,Python,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,United Kingdom,26,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,Less than a year,"Some college/university study, no bachelor's degree"
Male,United States,43,Engineer,R,Master's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,Brazil,33,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,High school
Female,France,20,,Python,Bachelor's degree,Mathematics or statistics,,A bachelor's degree
Female,United States,28,,R,Master's degree,A social science,3 to 5 years,A master's degree
Female,Czech Republic,21,,,,,,
Male,Netherlands,28,,Python,Professional degree,,Less than a year,I prefer not to answer
Male,Poland,26,Data Scientist,R,Master's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,India,19,,Matlab,I did not complete any formal education past high school,,,A doctoral degree
Male,United States,30,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,I prefer not to answer
Male,France,30,Other,Python,Doctoral degree,Biology,1 to 2 years,A master's degree
Male,Australia,55,Predictive Modeler,R,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,I don't know/not sure
Male,United States,24,Other,R,Bachelor's degree,Biology,Less than a year,No education
Male,Czech Republic,30,Data Scientist,Python,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Other,17,,Python,I did not complete any formal education past high school,,,A master's degree
Male,United States,26,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Ireland,39,,,,,,
Male,Japan,22,,Python,Master's degree,Computer Science,,A bachelor's degree
Male,Canada,38,Computer Scientist,Python,I did not complete any formal education past high school,,Less than a year,High school
Male,United States,39,Software Developer/Software Engineer,Python,I prefer not to answer,,6 to 10 years,I prefer not to answer
Male,United States,28,,,,,,
Male,Hungary,37,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Some college/university study, no bachelor's degree"
Female,United States,29,DBA/Database Engineer,Python,Bachelor's degree,A humanities discipline,Less than a year,A bachelor's degree
Male,United States,42,,Python,Bachelor's degree,Biology,3 to 5 years,A master's degree
Female,United States,18,Other,Python,Bachelor's degree,Mathematics or statistics,Less than a year,A doctoral degree
Male,United States,40,,Python,Master's degree,A social science,Less than a year,High school
Male,Canada,29,Software Developer/Software Engineer,Python,Bachelor's degree,,1 to 2 years,
Male,Italy,62,,,,,,
Male,Russia,24,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,
Male,United States,34,,,,,,
Male,United States,41,Other,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Some college/university study, no bachelor's degree"
Male,United Kingdom,23,Data Analyst,Python,Master's degree,Other,1 to 2 years,High school
Male,Other,28,Programmer,,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A master's degree
Male,Other,37,,,,,,
Male,United States,60,Researcher,Python,Doctoral degree,A humanities discipline,More than 10 years,High school
Female,Spain,24,Data Scientist,R,Master's degree,Mathematics or statistics,Less than a year,Primary/elementary school
Female,United States,27,Data Scientist,,Master's degree,Biology,3 to 5 years,A master's degree
Male,United States,41,,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A doctoral degree
Male,Australia,36,Data Scientist,Python,Master's degree,Mathematics or statistics,6 to 10 years,High school
Male,Russia,34,Researcher,Python,Professional degree,,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Poland,27,Other,Python,Bachelor's degree,Physics,Less than a year,High school
Male,India,28,,R,Professional degree,,Less than a year,A master's degree
Male,New Zealand,72,Scientist/Researcher,Python,Doctoral degree,Physics,More than 10 years,A professional degree
Male,United States,26,Other,R,Master's degree,Other,1 to 2 years,A doctoral degree
Male,Australia,38,,Python,Doctoral degree,Physics,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Canada,19,,,,,,
Male,United States,53,Other,Python,Bachelor's degree,A social science,1 to 2 years,High school
Male,Malaysia,22,,Java,Bachelor's degree,"Information technology, networking, or system administration",,A bachelor's degree
Male,South Africa,24,Data Scientist,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,High school
Male,Canada,52,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,Indonesia,39,Business Analyst,R,Master's degree,Electrical Engineering,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Other,50,Data Scientist,R,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,High school
Male,Japan,48,Software Developer/Software Engineer,Python,Master's degree,Engineering (non-computer focused),More than 10 years,I don't know/not sure
Male,United Kingdom,27,,Python,,Electrical Engineering,1 to 2 years,A bachelor's degree
