,age,total_pageviews,edu,edu_ages,user_level,industry,value_level,act_level,sex,blue_money,red_money,work_hours,region,labels,pro1,pro2
103,23,107882,1,13,1,11,4,1,0,0,0,50,1,0,0.511056402,0.488943598
104,35,214378,2,9,1,1,4,1,0,0,0,40,1,0,0.512059085,0.487940915
105,24,236427,2,10,2,1,2,1,1,0,0,40,1,0,0.505794086,0.494205914
106,28,34292,2,9,1,7,4,1,1,0,0,40,1,0,0.512987443,0.487012557
107,33,204780,2,10,2,1,3,1,0,15024,0,40,1,1,0.483194952,0.516805048
108,22,161508,2,10,1,4,4,1,1,0,0,40,1,0,0.51240054,0.48759946
109,80,151959,2,9,7,5,1,2,1,0,0,15,1,0,0.51513268,0.48486732
110,41,196001,2,9,2,6,3,1,0,0,0,20,1,0,0.502931679,0.497068321
111,27,211259,3,14,1,4,1,1,1,0,0,40,1,0,0.505966645,0.494033355
112,45,35136,1,13,2,11,2,2,1,0,0,40,1,1,0.499611768,0.500388232
113,52,288353,1,13,2,6,2,1,1,99999,0,48,1,1,0.437954219,0.562045781
114,48,93449,2,15,2,4,2,3,1,99999,0,40,14,1,0.436557965,0.563442035
115,17,40432,8,6,1,1,4,1,0,0,0,4,1,0,0.611509653,0.388490347
116,60,180632,2,8,3,9,1,1,1,0,0,40,1,0,0.508864434,0.491135566
117,76,204113,2,9,7,13,1,1,0,7896,0,18,1,1,0.493978728,0.506021272
118,22,336101,2,10,1,5,1,1,0,0,0,30,1,0,0.516567215,0.483432785
119,34,235062,2,9,1,7,1,1,1,0,0,45,1,0,0.506561613,0.493438387
120,49,312552,2,9,2,12,2,1,1,0,2002,70,1,0,0.50302609,0.49697391
121,39,226947,6,4,5,5,6,1,1,0,0,40,26,0,0.51365997,0.48634003
122,40,29393,2,9,1,7,4,1,0,0,0,40,1,0,0.511354308,0.488645692
123,38,115376,2,10,2,12,3,2,0,0,0,40,1,0,0.502941332,0.497058668
124,52,146574,2,15,2,4,2,1,1,0,0,40,1,1,0.495542024,0.504457976
125,28,175389,5,12,1,1,4,1,0,0,0,40,6,0,0.51564788,0.48435212
126,26,316688,2,10,1,6,6,1,1,0,0,40,1,0,0.511623127,0.488376873
127,63,187919,1,13,2,6,2,1,1,0,0,40,1,1,0.499561749,0.500438251
128,41,188436,2,9,2,12,2,1,1,0,0,20,11,0,0.506059732,0.493940268
129,41,80666,2,10,2,4,2,1,1,0,0,50,1,1,0.499361609,0.500638391
130,59,381965,2,9,2,6,2,1,1,0,1740,80,1,0,0.50193003,0.49806997
131,31,192039,5,12,3,4,4,1,0,0,0,40,1,0,0.510840532,0.489159468
132,34,181091,2,10,1,9,4,1,1,0,0,50,1,0,0.511311205,0.488688795
133,40,50191,4,5,3,7,5,1,1,5455,0,40,1,0,0.504564748,0.495435252
134,29,155256,1,13,1,11,1,2,0,0,0,40,1,0,0.507700696,0.492299304
135,42,104973,2,9,2,7,2,1,1,0,0,40,1,0,0.502347548,0.497652452
136,35,348771,2,9,2,9,2,1,1,0,0,40,11,0,0.505911585,0.494088415
137,55,96415,2,9,7,5,5,2,0,0,0,35,1,0,0.510649977,0.489350023
138,77,213136,3,16,7,2,5,1,1,0,0,40,1,0,0.501386708,0.498613292
139,59,155259,2,10,2,2,3,1,0,0,0,20,1,0,0.500370061,0.499629939
140,47,95155,1,13,2,2,2,1,1,0,0,43,1,1,0.495651051,0.504348949
141,56,178787,2,9,2,3,2,1,1,0,0,40,1,0,0.503297808,0.496702192
142,34,361497,2,7,2,8,2,1,1,0,0,40,1,0,0.505355453,0.494644547
143,61,254890,2,9,2,8,2,1,1,0,0,40,1,0,0.50174992,0.49825008
144,36,296478,2,9,2,6,2,1,1,0,0,40,1,0,0.502662566,0.497337434
145,61,179791,2,9,1,6,4,1,0,0,0,40,1,0,0.510366998,0.489633002
146,25,110010,2,9,3,6,4,1,1,0,0,40,1,0,0.512597561,0.487402439
147,35,89622,2,9,2,8,2,1,1,0,0,40,1,0,0.503052691,0.496947309
148,56,118614,2,9,3,1,1,1,0,0,0,40,1,0,0.508211415,0.491788585
149,30,35683,1,13,3,11,1,1,0,0,0,40,1,0,0.506881994,0.493118006
150,53,163815,2,7,2,5,2,1,1,0,2179,41,1,0,0.507375021,0.492624979
151,49,175305,6,4,3,5,5,1,0,0,0,40,1,0,0.51317441,0.48682559
152,33,96245,2,9,2,6,2,1,1,0,0,99,1,0,0.501544841,0.498455159
153,27,201017,3,16,2,4,2,1,1,0,0,80,1,1,0.498601739,0.501398261
154,48,95388,2,10,1,2,1,2,0,0,0,40,1,0,0.506676482,0.493323518
155,42,249332,2,9,2,10,2,1,1,0,0,40,1,0,0.503487567,0.496512433
156,27,194759,5,12,4,7,1,1,1,0,0,50,1,0,0.508346412,0.491653588
157,61,260062,8,6,1,5,4,1,0,4416,0,38,1,0,0.512731469,0.487268531
158,36,166213,2,9,2,8,2,1,1,0,0,40,1,0,0.503052691,0.496947309
159,42,46743,2,10,2,4,3,1,0,0,0,25,5,0,0.501778141,0.498221859
160,20,112387,8,6,1,7,4,1,1,0,0,40,1,0,0.519300401,0.480699599
161,22,324685,4,5,1,6,1,1,0,0,0,32,1,0,0.514819476,0.485180524
162,34,87943,6,4,2,7,3,5,0,0,0,48,5,0,0.502406402,0.497593598
163,45,187510,3,14,2,4,2,1,1,0,0,40,1,1,0.497272986,0.502727014
164,26,188703,3,14,1,4,1,1,0,0,0,40,1,0,0.507477082,0.492522918
165,38,127961,1,13,2,4,2,1,1,7688,0,40,1,1,0.484011938,0.515988062
166,34,200117,2,9,2,7,2,1,1,0,0,40,1,0,0.503052691,0.496947309
167,40,142030,1,13,2,2,3,1,0,0,0,55,1,1,0.494741791,0.505258209
168,30,226296,3,14,2,4,2,1,1,0,0,40,1,1,0.498900271,0.501099729
169,27,239130,2,15,1,4,4,1,1,0,0,40,1,0,0.506781928,0.493218072
170,24,165475,2,9,1,9,1,1,1,0,0,25,1,0,0.516734461,0.483265539
171,46,328216,2,15,2,4,2,1,1,0,1902,45,1,1,0.486957371,0.513042629
172,21,118023,2,10,1,12,4,1,1,0,0,35,1,0,0.517576563,0.482423437
173,42,206066,3,14,1,4,4,1,1,0,0,45,1,0,0.503926245,0.496073755
174,29,141005,2,10,3,5,5,1,0,0,0,24,1,0,0.514324733,0.485675267
175,28,104870,5,11,1,5,1,2,0,0,0,48,1,0,0.512509607,0.487490393
176,44,253250,3,14,2,4,2,1,1,0,0,54,1,1,0.495830801,0.504169199
177,39,497788,5,12,2,6,2,1,1,0,0,50,1,1,0.499860718,0.500139282
178,42,128354,1,13,2,1,3,1,0,0,0,40,1,1,0.49788356,0.50211644
179,49,140782,8,6,3,2,5,1,0,0,0,40,1,0,0.509641126,0.490358874
180,37,216129,2,9,1,7,1,2,0,0,0,45,1,0,0.50889064,0.49110936
181,65,65757,2,9,1,1,5,1,0,0,0,40,1,0,0.51019667,0.48980333
182,35,264758,2,10,2,12,2,2,1,0,0,40,23,0,0.50444823,0.49555177
183,23,245361,2,10,1,9,4,1,1,0,0,35,1,0,0.516145845,0.483854155
184,48,216689,2,9,2,7,2,1,1,0,0,40,1,0,0.50174992,0.49825008
185,19,139517,2,7,1,12,4,1,1,0,0,25,1,0,0.523006203,0.476993797
186,65,188903,2,9,2,3,2,1,1,6418,0,45,1,1,0.497150559,0.502849441
187,18,170094,2,9,1,3,4,1,0,0,0,20,1,0,0.610791964,0.389208036
188,53,108836,4,5,2,8,2,1,1,0,0,40,1,0,0.504052767,0.495947233
189,27,189565,2,9,2,2,4,1,1,0,0,40,1,0,0.505143849,0.494856151
190,46,347993,9,2,3,7,1,1,1,0,0,40,6,0,0.510809058,0.489190942
191,49,187308,2,10,2,5,6,1,1,0,0,35,1,0,0.503961626,0.496038374
192,27,136077,1,13,1,4,1,1,1,0,0,40,1,0,0.506597232,0.493402768
193,25,165457,1,13,1,11,4,3,1,2463,0,40,1,0,0.512299791,0.487700209
194,49,175428,2,10,2,1,2,1,1,0,0,40,1,0,0.50109547,0.49890453
195,78,143574,2,10,7,12,1,1,1,0,0,5,1,0,0.509875343,0.490124657
196,34,349148,2,15,2,4,2,1,1,0,0,40,1,1,0.496844749,0.503155251
197,72,103990,3,14,2,5,2,1,1,0,0,12,1,0,0.503637847,0.496362153
198,55,183884,2,9,2,2,2,1,1,0,0,50,1,1,0.498607981,0.501392019
199,21,464484,2,9,4,1,4,1,0,0,0,40,1,0,0.518509316,0.481490684
200,41,190786,5,11,2,1,2,1,1,7298,0,40,1,1,0.486496433,0.513503567
201,30,348592,2,9,5,5,1,1,1,0,0,40,1,0,0.510162798,0.489837202
202,25,177839,2,9,1,12,4,1,1,0,0,40,1,0,0.514217729,0.485782271
203,32,152156,2,9,5,7,1,1,1,0,0,53,1,0,0.506886064,0.493113936
204,55,141807,2,9,4,7,6,1,1,0,0,40,16,0,0.508926411,0.491073589
205,47,188537,3,14,2,4,3,1,0,0,0,60,1,1,0.494323966,0.505676034
206,43,203233,2,9,2,8,2,1,1,0,0,50,1,0,0.50090531,0.49909469
207,51,28978,2,10,7,5,1,1,0,0,0,40,1,0,0.508350546,0.491649454
208,53,116211,2,10,2,2,2,1,1,0,0,40,1,1,0.499395777,0.500604223
209,18,97683,2,9,1,12,4,1,0,0,0,15,1,0,0.610490741,0.389509259
210,19,283945,2,9,1,5,4,1,1,0,0,35,1,0,0.518833596,0.481166404
211,43,115178,1,13,3,4,5,1,0,0,0,43,1,0,0.50434808,0.49565192
212,48,77102,3,16,2,4,2,1,1,0,0,45,1,1,0.494859462,0.505140538
213,23,132220,2,9,2,3,2,1,1,0,0,40,1,0,0.507996047,0.492003953
214,53,129301,2,10,2,6,2,1,1,0,0,45,1,1,0.49926308,0.50073692
215,22,187592,2,10,1,2,1,1,1,0,0,30,1,0,0.51152539,0.48847461
216,34,312667,3,14,2,4,2,1,1,0,0,45,1,1,0.497133537,0.502866463
217,36,206951,2,10,2,13,2,1,1,0,0,40,1,0,0.500766076,0.499233924
218,27,587310,5,12,2,8,4,1,1,0,0,40,26,0,0.506188955,0.493811045
219,76,328227,1,13,2,1,2,1,1,5556,0,13,1,1,0.496569139,0.503430861
220,35,100634,2,10,3,1,5,1,0,0,0,40,1,0,0.509686223,0.490313777
221,49,274200,2,9,2,2,2,1,1,0,0,72,1,1,0.498607981,0.501392019
222,18,29582,2,7,1,9,4,1,1,0,0,50,1,0,0.609059839,0.390940161
223,68,174812,2,9,1,5,1,1,1,0,0,15,1,0,0.512174742,0.487825258
224,22,138513,1,13,1,4,1,1,1,0,0,15,1,0,0.510033953,0.489966047
225,37,219137,6,4,3,6,5,1,0,0,0,44,1,0,0.510810741,0.489189259
226,23,265148,1,13,1,6,6,1,1,0,0,55,1,0,0.508835885,0.491164115
227,41,302606,2,9,3,2,5,1,0,0,0,40,1,0,0.507936364,0.492063636
228,18,197600,2,7,1,3,4,1,1,0,0,20,1,0,0.611545019,0.388454981
229,36,167415,2,9,3,7,5,1,1,0,0,40,1,0,0.508830261,0.491169739
230,44,13769,2,10,2,2,2,4,1,0,0,40,1,1,0.499395777,0.500604223
231,26,109390,2,9,2,3,2,1,1,0,0,40,1,0,0.507039845,0.492960155
232,36,218188,2,9,3,10,5,1,0,0,0,32,1,0,0.511479931,0.488520069
233,49,167159,2,10,2,10,2,1,1,0,0,40,1,0,0.502235516,0.497764484
234,72,128529,2,9,7,5,5,1,0,0,0,28,1,0,0.513469714,0.486530286
235,22,200973,5,12,1,5,1,1,0,0,0,12,1,0,0.516567215,0.483432785
236,22,118235,2,9,1,6,1,4,1,0,0,55,1,0,0.509566756,0.490433244
237,23,250165,1,13,1,4,4,1,0,594,0,40,1,0,0.513876592,0.486123408
238,47,269620,2,10,2,10,2,1,1,0,0,40,5,0,0.502235516,0.497764484
239,46,212162,7,3,2,5,2,2,1,0,0,40,1,0,0.506706774,0.493293226
240,25,147638,1,13,1,1,4,3,0,0,0,40,4,0,0.51154199,0.48845801
241,42,304605,2,10,2,7,2,1,1,0,0,40,1,0,0.501693103,0.498306897
242,45,165267,4,5,2,8,2,2,1,0,0,40,1,0,0.504871578,0.495128422
243,28,122037,1,13,2,4,2,1,1,0,0,55,1,0,0.500203845,0.499796155
244,63,165611,1,13,2,2,2,1,1,0,0,35,1,1,0.498252198,0.501747802
245,21,262634,6,4,1,9,1,1,1,0,0,36,1,0,0.51961259,0.48038741
246,46,280766,2,9,3,13,1,1,1,0,0,40,2,0,0.505069072,0.494930928
247,21,226668,5,11,1,7,1,5,1,0,0,40,1,0,0.513802635,0.486197365
248,37,130200,2,9,2,2,2,1,1,0,0,70,1,1,0.499910779,0.500089221
249,17,98005,2,7,1,6,4,1,0,0,0,20,1,0,0.611138855,0.388861145
250,47,308857,1,13,3,2,1,1,1,0,0,50,1,0,0.500602457,0.499397543
251,51,108914,2,9,2,3,2,1,1,0,0,40,1,0,0.503297808,0.496702192
252,64,210464,3,14,7,4,5,2,0,0,0,40,1,0,0.50549795,0.49450205
253,30,172748,2,9,2,2,2,1,1,0,0,40,1,0,0.501677536,0.498322464
254,27,192140,2,9,1,1,1,1,0,0,0,20,1,0,0.514431865,0.485568135
255,21,126568,2,9,1,1,6,1,1,0,0,40,1,0,0.516680323,0.483319677
256,50,179339,2,9,3,1,1,1,0,0,0,45,1,0,0.506769485,0.493230515
257,43,31621,2,10,3,1,5,1,0,0,0,20,1,0,0.511461529,0.488538471
258,39,365009,1,13,1,3,4,1,1,0,0,40,1,0,0.508435641,0.491564359
259,20,344698,2,10,1,10,4,1,1,0,0,30,1,0,0.519963319,0.480036681
260,42,159911,2,9,2,5,3,1,0,0,0,24,1,0,0.505157111,0.494842889
261,25,389456,2,10,1,7,4,1,1,0,0,30,1,0,0.514812841,0.485187159
262,48,167472,2,10,3,7,1,1,1,0,0,40,1,0,0.506046693,0.493953307
263,17,201412,8,6,1,9,4,1,1,594,0,5,1,0,0.614941501,0.385058499
264,26,331861,1,13,1,6,1,1,1,0,0,60,1,0,0.505654228,0.494345772
265,58,97541,3,14,2,2,2,1,1,0,0,46,1,1,0.49502042,0.50497958
266,34,71865,4,5,2,10,3,5,0,0,0,40,24,0,0.504988569,0.495011431
267,29,196564,2,9,2,1,2,1,1,0,0,40,1,0,0.503377187,0.496622813
268,19,218956,2,10,1,11,4,1,1,0,0,20,1,0,0.518824976,0.481175024
269,27,37359,1,13,1,4,1,1,1,0,0,40,5,0,0.506597232,0.493402768
270,41,184630,1,13,3,3,1,1,1,4416,0,40,1,0,0.503727131,0.496272869
271,17,161955,2,7,1,1,4,4,0,0,0,30,1,0,0.611509653,0.388490347
272,24,200089,2,9,2,5,2,1,1,0,0,40,28,0,0.508283486,0.491716514
273,39,193026,3,16,2,4,2,1,1,0,0,55,1,1,0.495457044,0.504542956
274,72,336423,7,3,2,9,2,1,1,0,0,40,1,0,0.508070281,0.491929719
275,52,184529,2,9,2,13,2,1,1,0,0,40,1,0,0.50011773,0.49988227
276,30,153876,5,12,1,4,1,1,0,0,0,53,1,0,0.506853079,0.493146921
277,22,269687,2,10,1,6,4,1,1,0,0,35,1,0,0.512899329,0.487100671
278,27,153805,2,10,1,7,5,5,1,0,0,45,20,0,0.509173092,0.490826908
279,43,151504,2,9,2,7,2,1,1,0,0,40,1,0,0.502347548,0.497652452
280,45,330087,5,12,1,9,1,1,1,0,0,40,1,0,0.508905177,0.491094823
281,59,164970,2,9,2,4,2,2,1,0,0,60,1,0,0.500237303,0.499762697
282,23,239539,2,10,1,7,4,3,1,0,0,40,5,0,0.513289199,0.486710801
283,55,50215,5,11,2,5,3,1,0,0,0,42,1,1,0.499981679,0.500018321
284,51,80123,2,10,2,13,2,1,1,0,0,35,1,1,0.499463275,0.500536725
285,54,55139,1,13,2,12,2,1,1,0,0,43,1,1,0.498581838,0.501418162
286,44,276096,2,10,1,12,6,1,1,0,0,45,1,0,0.508061148,0.491938852
287,41,222813,5,12,2,6,2,1,1,0,0,45,1,1,0.499860718,0.500139282
288,24,172232,2,9,2,10,2,1,1,0,0,42,1,0,0.506146295,0.493853705
289,54,386773,2,10,2,2,2,1,1,0,0,60,1,1,0.497953533,0.502046467
290,38,87556,2,10,2,7,2,1,1,0,0,40,1,0,0.502398255,0.497601745
291,38,169926,1,13,2,4,3,1,0,0,0,21,1,0,0.500180732,0.499819268
292,41,104196,3,14,2,2,2,1,1,0,0,50,1,1,0.495618005,0.504381995
293,34,320027,2,9,2,5,2,1,1,0,0,50,1,0,0.503445864,0.496554136
294,59,116637,2,9,2,7,2,1,1,0,0,40,1,0,0.50174992,0.49825008
295,33,307640,5,11,1,2,5,2,0,0,0,40,1,0,0.50913011,0.49086989
296,69,138386,2,9,2,12,2,1,1,1409,0,35,1,0,0.506408712,0.493591288
297,25,269015,2,9,1,5,6,2,0,0,0,40,1,0,0.516828486,0.483171514
298,30,90308,10,1,1,5,5,1,1,0,0,28,26,0,0.515770095,0.484229905
299,41,39581,2,9,5,5,1,2,0,4101,0,40,1,0,0.515197965,0.484802035
300,49,241688,2,9,2,4,2,1,1,0,0,60,2,1,0.499418427,0.500581573
301,22,467759,2,9,3,10,4,1,1,0,0,48,1,0,0.513641202,0.486358798
302,39,303677,2,10,3,2,5,1,0,0,0,15,1,0,0.509762601,0.490237399
303,56,47392,5,11,2,11,2,1,1,0,0,40,1,0,0.50109547,0.49890453
304,37,97925,2,9,3,1,1,1,0,0,0,40,1,0,0.509513807,0.490486193
305,18,243240,2,10,1,5,4,1,1,0,0,15,1,0,0.609005026,0.390994974
306,29,472344,7,3,2,3,1,1,1,0,0,40,6,0,0.5078387,0.4921613
307,41,177054,2,9,3,10,5,1,1,0,0,40,1,0,0.509265013,0.490734987
308,43,212206,5,11,2,1,3,1,0,0,0,40,1,0,0.500186128,0.499813872
309,34,244147,2,9,2,5,2,1,1,0,0,40,1,0,0.504888017,0.495111983
310,29,167336,2,10,2,1,3,1,0,0,0,50,1,1,0.499773546,0.500226454
311,43,135060,3,14,2,2,2,1,1,0,0,50,5,1,0.495618005,0.504381995
312,49,52184,2,9,2,10,2,1,1,0,0,40,1,0,0.502889954,0.497110046
313,31,159187,2,10,2,7,2,1,1,0,0,25,1,0,0.505203862,0.494796138
314,35,22494,1,13,3,4,1,1,0,0,0,50,1,0,0.504226318,0.495773682
315,36,219745,2,9,5,7,1,1,1,0,0,40,1,0,0.508003561,0.491996439
316,67,113323,3,14,3,1,5,1,1,0,0,41,1,0,0.505099474,0.494900526
317,36,181099,3,16,2,2,2,1,1,0,0,40,1,1,0.496793932,0.503206068
318,26,216741,2,9,1,1,1,1,0,0,0,40,1,0,0.51195233,0.48804767
319,51,106365,5,12,3,1,5,1,0,0,0,40,1,0,0.508383847,0.491616153
320,45,124973,2,10,2,7,2,1,1,0,0,30,1,0,0.503576678,0.496423322
